afc_id	class	pathway	superclass
AFC000356	Hydrocarbons	Fatty acids	Fatty acyls
AFC000357	Hydrocarbons	Fatty acids	Fatty acyls
AFC000358	Hydrocarbons	Fatty acids	Fatty acyls
AFC000359	Fatty aldehydes	Fatty acids	Fatty acyls
AFC000360	Fatty aldehydes	Fatty acids	Fatty acyls
AFC000361	Aminoacids	Amino acids and Peptides	Small peptides
AFC000362	Oxygenated hydrocarbons	Fatty acids	Fatty acyls
AFC000363	Wax monoesters	Fatty acids	Fatty esters
AFC000364	Purine nucleosides	Carbohydrates	Nucleosides
AFC000366	Pyrimidine nucleotides	Carbohydrates	Nucleosides
AFC000368	Prenyl quinone meroterpenoids	Terpenoids	Meroterpenoids
AFC000369	Oxygenated hydrocarbons	Fatty acids	Fatty acyls
AFC000370	Purine nucleotides	Carbohydrates	Nucleosides
AFC000371	Hydrocarbons	Fatty acids	Fatty acyls
AFC000372	Wax monoesters	Fatty acids	Fatty esters
AFC000373	Aminosugars	Carbohydrates	Aminosugars and aminoglycosides
AFC000374	Furocoumarins	Shikimates and Phenylpropanoids	Coumarins
AFC000375	Other Octadecanoids	Fatty acids	Octadecanoids
AFC000376	Unsaturated fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000377	Fatty acids
AFC000378	Fatty alcohols	Fatty acids	Fatty acyls
AFC000379	Aminosugars	Carbohydrates	Aminosugars and aminoglycosides
AFC000381	Fatty acids
AFC000382	Copaane sesquiterpenoids	Terpenoids	Sesquiterpenoids
AFC000383	Fatty alcohols	Fatty acids	Fatty acyls
AFC000384	Aminoacids	Amino acids and Peptides	Small peptides
AFC000385	Menthane monoterpenoids;Monocyclic monoterpenoids;Pinane monoterpenoids	Terpenoids	Monoterpenoids
AFC000386	Fatty aldehydes	Fatty acids	Fatty acyls
AFC000389	Wax monoesters	Fatty acids	Fatty esters
AFC000390	Pyrroloquinoline alkaloids	Alkaloids	Tryptophan alkaloids
AFC000391	Purine nucleosides	Carbohydrates	Nucleosides
