compoundName	iupacName	cas	kegg	hmdb	pubchem	chebi	foodb	lipidmaps	afc_id	original_smiles
5,7-dihydroxy-2-(4-methoxyphenyl)-6-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]chromen-4-one	5,7-dihydroxy-2-(4-methoxyphenyl)-6-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-4H-chromen-4-one		no entry found	no entry found	74977540	no entry found	no entry found	no entry found	AFC001818	COc1ccc(-c2cc(=O)c3c(O)c([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c(O)cc3o2)cc1
4-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}benzaldehyde	helicid		no entry found	no entry found	3303383	no entry found	no entry found	no entry found	AFC001819	O=Cc1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1
(1R,2R,3aS,3bS,9aR,9bR,11aR)-2-hydroxy-3a,6,6,9b,11a-pentamethyl-8-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-1-[(2R,5R)-2,5,6-trihydroxy-6-methyl-3-oxoheptan-2-yl]-1H,2H,3H,3bH,4H,9aH,11H-cyclopenta[a]phenanthrene-7,10-dione									AFC001820	CC1(C)C(=O)C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=C[C@@H]2C1=CC[C@H]1[C@]3(C)C[C@@H](O)[C@H]([C@@](C)(O)C(=O)C[C@@H](O)C(C)(C)O)[C@@]3(C)CC(=O)[C@]12C
(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(4-hydroxyphenyl)methoxy]oxane-3,4,5-triol	4-hydroxybenzyl beta-d-glucopyranoside		no entry found	no entry found	49871127	no entry found	no entry found	no entry found	AFC001821	OC[C@H]1O[C@@H](OCc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O
sitogluside	"beta-sitosterol 3-O-beta-D-galactopyranoside;daucosterol"	474-29-9	C20785	HMDB0033949	296119	67554	FDB018570	LMST01040251	AFC001822	CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C
(1S,2S,4R,6S,9R,10R,11R,14R,15R)-9-hydroxy-6-(2-methoxypropan-2-yl)-2,9,11,14,19,19-hexamethyl-17-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-5-oxapentacyclo[12.8.0.0²,¹¹.0⁴,¹⁰.0¹⁵,²⁰]docosa-16,20-diene-8,13,18-trione									AFC001823	COC(C)(C)[C@@H]1CC(=O)[C@](C)(O)[C@H]2[C@@H](C[C@@]3(C)[C@@H]4CC=C5[C@@H](C=C(O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)C(=O)C5(C)C)[C@]4(C)C(=O)C[C@]23C)O1
5,7-dihydroxy-8-[(4-hydroxyphenyl)methyl]-6-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-2-(4-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}phenyl)chromen-4-one									AFC001824	O=c1cc(-c2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc2)oc2c(Cc3ccc(O)cc3)c(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12
(1R,2R,3aS,3bS,9aR,9bR,11aR)-2-hydroxy-3a,6,6,9b,11a-pentamethyl-8-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-1-[(2R,5S)-2,5,6-trihydroxy-6-methyl-3-oxoheptan-2-yl]-1H,2H,3H,3bH,4H,9aH,11H-cyclopenta[a]phenanthrene-7,10-dione									AFC001825	CC1(C)C(=O)C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=C[C@@H]2C1=CC[C@H]1[C@]3(C)C[C@@H](O)[C@H]([C@@](C)(O)C(=O)C[C@H](O)C(C)(C)O)[C@@]3(C)CC(=O)[C@]12C
(1S,2S,4R,6S,9R,10R,11R,14R,15R)-9,17-dihydroxy-6-(2-methoxypropan-2-yl)-2,9,11,14,19,19-hexamethyl-5-oxapentacyclo[12.8.0.0²,¹¹.0⁴,¹⁰.0¹⁵,²⁰]docosa-16,20-diene-8,13,18-trione									AFC001826	COC(C)(C)[C@@H]1CC(=O)[C@](C)(O)[C@H]2[C@@H](C[C@@]3(C)[C@@H]4CC=C5[C@@H](C=C(O)C(=O)C5(C)C)[C@]4(C)C(=O)C[C@]23C)O1
myristoleic acid	9-tetradecenoic acid	544-64-9	C08322	HMDB0002000	68344	27781	FDB012633	LMFA01030051	AFC001827	CCCC/C=C\CCCCCCCC(=O)O
p-(methoxymethyl)phenol	4-(methoxymethyl)phenol	5355-17-9	no entry found	no entry found	79310	133885	no entry found	no entry found	AFC001828	COCc1ccc(O)cc1
isoamyl butyrate	"isopentyl butyrate;3-methylbutyl butanoate;3-methylbutyl butyrate"	106-27-4	no entry found	HMDB0040221	7795	87422	FDB019935	LMFA07010574	AFC001829	CCCC(=O)OCCC(C)C
cis-3-hexenyl acetate	"(Z)-3-hexenyl acetate;(Z)-hex-3-enyl acetate;(3Z)-3-hexenyl acetate"	3681-71-8	C19757	HMDB0040215	5363388	61316	FDB019927	LMFA07010181	AFC001830	CCC=CCCOC(=O)C
1-decanol	"decan-1-ol;decyl alcohol; decanol"	112-30-1	C01633	HMDB0011624	8174	28903	FDB012351	LMFA05000062	AFC001831	CCCCCCCCCCO
tetradecanal	myristyl aldehyde	124-25-4	no entry found	HMDB0034283	31291	84067	FDB012621	LMFA06000078	AFC001832	O=CCCCCCCCCCCCCC
vaccenic acid	"cis-vaccenic acid;11Z-octadecenoic acid"	506-17-2	C21944	HMDB0240219	5282761	50464	no entry found	LMFA01030076		CCCCCC/C=C/CCCCCCCCCC(=O)O
